dataset,image_number,image_name,bndbox,labels,img_shape
Others,161,j152-1.jpg,"[[179, 150, 777, 193], [877, 173, 896, 195], [876, 207, 896, 224]]","[2, 1, 1]","['2933', '471']"
Others,204,j165-1.jpg,"[[3027, 290, 3324, 385]]",[2],"['4027', '771']"
Porosity,701,h157-1.jpg,"[[839, 171, 875, 204]]",[1],"['1317', '308']"
Others,172,j155-2.jpg,"[[545, 118, 769, 160], [778, 124, 898, 149]]","[2, 2]","['2446', '384']"
Others,299,j28-3.jpg,"[[793, 274, 1409, 390], [1404, 214, 1870, 312], [1895, 174, 2373, 269], [2386, 142, 2802, 223]]","[2, 2, 2, 2]","['4749', '632']"
Porosity,770,h178-1.jpg,"[[1587, 453, 1632, 488]]",[1],"['2404', '859']"
Others,412,j65-2.jpg,"[[22, 138, 113, 165], [148, 142, 417, 174], [478, 151, 660, 188], [717, 160, 778, 191], [796, 164, 848, 196], [865, 167, 1061, 197], [1233, 177, 1523, 210], [1551, 179, 1645, 211], [1699, 187, 1857, 213], [1897, 198, 2079, 220], [2101, 202, 2497, 236], [2639, 225, 2884, 266], [1076, 176, 1133, 195], [1161, 177, 1217, 202]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['2927', '448']"
Others,66,j119-3.jpg,"[[1373, 247, 1398, 265], [1362, 276, 1391, 298], [1498, 253, 1800, 279]]","[1, 1, 2]","['2852', '484']"
Porosity,551,h111-3.jpg,"[[1820, 235, 2296, 286]]",[2],"['2315', '462']"
Porosity,1142,h73-3.jpg,"[[1245, 132, 1311, 190]]",[1],"['1995', '829']"
Porosity,581,h120-3.jpg,"[[676, 204, 710, 224]]",[1],"['2917', '480']"
Porosity,604,h127-2.jpg,"[[969, 169, 1001, 205]]",[1],"['1285', '471']"
Others,382,j56-2.jpg,"[[2305, 208, 2596, 258], [2639, 241, 2743, 265], [2759, 246, 2919, 276], [1380, 127, 1517, 169], [1699, 155, 1808, 205], [1838, 179, 1928, 205], [1945, 181, 2114, 208], [1579, 145, 1648, 187], [1201, 109, 1295, 151], [960, 121, 1061, 139], [650, 115, 887, 144], [521, 115, 632, 137], [326, 106, 486, 132], [193, 102, 271, 127], [105, 107, 147, 131]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['2925', '419']"
Porosity,514,h-10-1.jpg,"[[1246, 215, 1276, 242]]",[1],"['2957', '475']"
Others,80,j123-1.jpg,"[[1462, 311, 2232, 393]]",[2],"['2937', '673']"
Others,112,j133-2.jpg,"[[958, 98, 1032, 129], [1116, 107, 1174, 140]]","[2, 2]","['2908', '410']"
Porosity,710,h160-1.jpg,"[[2555, 232, 2639, 253]]",[2],"['2857', '396']"
Porosity,1202,h-9-3.jpg,"[[1178, 222, 1403, 263], [1612, 208, 1689, 260]]","[2, 1]","['4973', '840']"
Others,79,j12-3.jpg,"[[1124, 264, 1421, 302]]",[2],"['3002', '451']"
Porosity,1089,h58-1.jpg,"[[501, 254, 521, 271], [2105, 284, 2138, 305]]","[1, 1]","['2988', '446']"
Others,198,j163-1.jpg,"[[2659, 366, 2930, 430]]",[2],"['3542', '775']"
Porosity,922,h224-3.jpg,"[[745, 146, 945, 175], [449, 149, 608, 173]]","[2, 2]","['2343', '380']"
Porosity,826,h195-2.jpg,"[[522, 184, 549, 208]]",[1],"['1310', '451']"
Porosity,1137,h72-2.jpg,"[[1791, 163, 1821, 191]]",[1],"['2531', '381']"
Porosity,810,h19-1.jpg,"[[2341, 241, 2382, 260], [2389, 245, 2416, 264]]","[1, 1]","['2929', '498']"
Porosity,1116,h66-1.jpg,"[[1115, 216, 1147, 244], [989, 222, 1089, 244]]","[1, 2]","['2966', '379']"
Others,87,j125-2.jpg,"[[1900, 258, 1923, 283], [2050, 238, 2150, 262]]","[1, 2]","['2933', '496']"
Porosity,771,h178-2.jpg,"[[707, 353, 754, 397]]",[1],"['2272', '840']"
Slag,1232,s12-2.jpg,"[[1819, 213, 1911, 242], [638, 211, 700, 235], [299, 214, 388, 242]]","[2, 2, 2]","['3090', '497']"
Porosity,717,h-16-2.jpg,"[[1088, 189, 1128, 228]]",[1],"['2927', '505']"
Others,118,j135-2.jpg,"[[151, 162, 450, 194]]",[2],"['1302', '367']"
Porosity,1176,h84-1.jpg,"[[1336, 259, 1363, 284]]",[1],"['2949', '513']"
Porosity,1153,h77-2.jpg,"[[2157, 209, 2191, 229]]",[2],"['2863', '454']"
Others,124,j137-2.jpg,"[[302, 62, 440, 96]]",[2],"['1365', '308']"
Others,330,j40-1.jpg,"[[696, 343, 920, 404]]",[0],"['2234', '656']"
Porosity,987,h25-1.jpg,"[[1758, 411, 1791, 444], [383, 288, 413, 320]]","[1, 1]","['4900', '700']"
Porosity,863,h206-3.jpg,"[[1079, 163, 1169, 182]]",[2],"['2050', '347']"
Porosity,633,h135-3.jpg,"[[846, 148, 1074, 171]]",[2],"['1494', '420']"
Porosity,606,h128-1.jpg,"[[668, 376, 697, 405]]",[1],"['2278', '704']"
Others,228,j172-2.jpg,"[[587, 165, 1440, 247], [1452, 191, 2721, 318]]","[2, 2]","['2920', '453']"
Porosity,1080,h54-3.jpg,"[[870, 155, 889, 171]]",[1],"['1256', '420']"
Porosity,786,h182-3.jpg,"[[400, 216, 445, 256]]",[1],"['2181', '603']"
Slag,1294,s33-1.jpg,"[[187, 348, 386, 388], [887, 290, 976, 324]]","[2, 2]","['1730', '573']"
Slag,1271,s25-2.jpg,"[[2295, 156, 2394, 188]]",[2],"['2589', '411']"
Porosity,897,h217-3.jpg,"[[2211, 165, 2228, 183], [2292, 166, 2313, 182]]","[1, 1]","['2925', '465']"
Porosity,881,h21-2.jpg,"[[2010, 350, 2044, 381]]",[1],"['4193', '829']"
Others,284,j20-3.jpg,"[[969, 177, 1414, 202], [1821, 181, 1849, 200]]","[2, 1]","['2916', '514']"
Others,92,j127-1.jpg,[],[],"['2959', '521']"
Porosity,927,h226-2.jpg,"[[1505, 266, 1529, 288]]",[1],"['2430', '454']"
Others,355,j48-2.jpg,"[[687, 200, 941, 228], [608, 204, 670, 218], [461, 202, 487, 225], [1838, 239, 2154, 267], [1483, 222, 1587, 247], [1721, 235, 1830, 258], [2190, 245, 2289, 261], [2329, 237, 2444, 261], [2469, 247, 2590, 266]]","[2, 2, 2, 2, 2, 2, 2, 2, 2]","['2936', '464']"
Others,189,j16-1.jpg,"[[3110, 374, 3141, 396], [3282, 372, 3311, 393], [3914, 326, 3944, 355], [2683, 437, 2710, 468], [2819, 392, 2841, 414], [1210, 379, 1287, 407], [402, 424, 464, 448], [260, 410, 377, 439], [4117, 256, 4453, 287], [3527, 285, 3716, 318], [3744, 269, 4029, 302], [2568, 330, 2942, 359], [3037, 297, 3481, 329]]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","['4867', '676']"
Porosity,719,h162-2.jpg,"[[1186, 204, 1214, 225]]",[1],"['2344', '337']"
Porosity,877,h21-1.jpg,"[[2148, 451, 2182, 482]]",[1],"['4193', '829']"
Others,170,j154-3.jpg,"[[825, 146, 983, 184], [1516, 145, 2216, 198], [645, 173, 753, 203]]","[2, 2, 2]","['2454', '428']"
Porosity,1188,h88-3.jpg,"[[707, 181, 760, 203]]",[2],"['2256', '523']"
Slag,1279,s28-2.jpg,"[[1269, 271, 1338, 329]]",[1],"['1517', '490']"
Others,291,j24-1.jpg,"[[2283, 235, 2748, 281], [714, 273, 842, 307], [497, 261, 634, 316], [415, 238, 462, 267]]","[0, 2, 0, 2]","['2917', '524']"
Porosity,660,h143-3.jpg,"[[1360, 232, 1385, 266]]",[1],"['3520', '737']"
Porosity,556,h-11-3.jpg,"[[2997, 268, 3032, 308], [4670, 229, 4703, 259]]","[1, 1]","['4943', '783']"
Others,492,j93-3.jpg,"[[859, 210, 1045, 261], [1060, 210, 1439, 256], [1463, 216, 1737, 251], [2283, 225, 2387, 262]]","[2, 2, 2, 2]","['2938', '550']"
Porosity,783,h18-2.jpg,"[[1271, 297, 1348, 324]]",[2],"['2799', '499']"
Slag,1266,s23-3.jpg,"[[678, 145, 764, 176]]",[2],"['1298', '416']"
Porosity,670,h147-2.jpg,"[[606, 206, 626, 227]]",[1],"['1215', '380']"
Others,183,j159-1.jpg,"[[1554, 260, 1683, 283], [1206, 231, 1231, 253]]","[2, 1]","['2130', '479']"
Porosity,796,h186-1.jpg,[],[],"['1361', '358']"
Porosity,1115,h65-3.jpg,"[[1259, 176, 1279, 196], [1775, 189, 1804, 217]]","[1, 1]","['2651', '408']"
Others,450,j77-1.jpg,"[[910, 354, 1104, 421], [1482, 358, 1566, 443]]","[2, 2]","['2250', '702']"
Porosity,618,h131-2.jpg,"[[439, 204, 475, 234]]",[1],"['1223', '449']"
Others,23,j106-3.jpg,"[[1448, 148, 1603, 175]]",[2],"['2919', '413']"
Porosity,524,h103-2.jpg,"[[553, 256, 586, 287]]",[1],"['1363', '494']"
Porosity,997,h28-2.jpg,"[[853, 184, 882, 214]]",[1],"['1858', '425']"
Porosity,515,h101-1.jpg,"[[667, 209, 987, 245], [2603, 225, 2641, 255]]","[2, 1]","['2882', '439']"
Slag,1269,s24-3.jpg,"[[231, 133, 339, 162]]",[2],"['1362', '453']"
Porosity,999,h29-2.jpg,"[[1609, 235, 1641, 263]]",[1],"['4535', '871']"
Others,142,j146-2.jpg,"[[1437, 123, 1567, 153]]",[2],"['2804', '621']"
Slag,1275,s26-3.jpg,"[[696, 197, 778, 261]]",[2],"['1958', '518']"
Porosity,667,h146-1.jpg,"[[675, 181, 700, 205]]",[1],"['1378', '332']"
Porosity,753,h172-3.jpg,[],[],"['2845', '443']"
Others,174,j156-1.jpg,"[[175, 208, 241, 236]]",[2],"['2620', '442']"
Porosity,836,h198-3.jpg,"[[1792, 230, 1823, 254]]",[1],"['2803', '504']"
Others,11,j10-3.jpg,"[[2444, 165, 2866, 230]]",[2],"['3005', '421']"
Porosity,816,h192-2.jpg,"[[842, 138, 866, 159], [358, 107, 491, 187]]","[1, 0]","['2417', '412']"
Porosity,939,h230-1.jpg,"[[986, 193, 1004, 208]]",[1],"['1333', '482']"
Slag,1273,s26-1.jpg,"[[1183, 258, 1270, 330]]",[2],"['1960', '518']"
Others,429,j7-1.jpg,"[[655, 170, 801, 202]]",[2],"['2329', '392']"
Porosity,1047,h43-3.jpg,"[[2007, 208, 2117, 223], [1230, 255, 1251, 276], [680, 231, 708, 262]]","[2, 1, 1]","['2887', '493']"
Others,258,j181-3.jpg,"[[353, 137, 369, 151], [468, 160, 487, 175]]","[1, 1]","['1463', '255']"
Others,230,j17-3.jpg,"[[4314, 414, 4364, 433], [4350, 354, 4368, 370], [2836, 90, 2961, 172], [2066, 110, 2215, 149], [2294, 132, 2414, 146], [950, 107, 1502, 135]]","[2, 1, 0, 2, 2, 2]","['4818', '597']"
Others,277,j187-2.jpg,"[[1750, 182, 1813, 214]]",[2],"['2509', '544']"
Porosity,675,h149-2.jpg,"[[487, 123, 539, 140]]",[2],"['2954', '447']"
Slag,1234,s1-3.jpg,"[[1238, 216, 1479, 272], [1771, 247, 1833, 269], [1864, 251, 1926, 273], [805, 295, 1052, 344], [2381, 242, 2543, 289]]","[2, 2, 2, 2, 2]","['3005', '569']"
Porosity,980,h243-3.jpg,"[[2403, 181, 2419, 195], [2497, 192, 2514, 206], [2563, 188, 2579, 204]]","[1, 1, 1]","['2626', '437']"
Others,42,j112-1.jpg,"[[1014, 152, 1080, 176], [1096, 156, 1167, 179], [2426, 189, 2860, 226]]","[2, 2, 2]","['2913', '461']"
Porosity,1121,h67-3.jpg,"[[958, 299, 1139, 330], [214, 266, 252, 301], [1199, 302, 1337, 327]]","[2, 1, 2]","['3791', '746']"
Porosity,893,h216-2.jpg,"[[997, 185, 1022, 205]]",[1],"['1350', '369']"
Others,60,j117-3.jpg,"[[2067, 233, 2228, 272]]",[2],"['2942', '559']"
Slag,1306,s5-2.jpg,"[[2780, 136, 2892, 169], [2185, 139, 2269, 167], [1532, 153, 1707, 187], [1449, 156, 1525, 180], [1361, 160, 1437, 185], [942, 179, 1032, 209], [714, 211, 807, 230], [588, 210, 683, 237], [495, 223, 555, 240], [385, 227, 472, 250], [336, 220, 386, 238], [16, 261, 160, 279]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['3031', '455']"
Porosity,1222,h99-2.jpg,"[[1291, 161, 1317, 177]]",[1],"['2496', '438']"
Porosity,1054,h46-1.jpg,"[[1106, 260, 1123, 278]]",[1],"['2819', '413']"
Slag,1310,s6-3.jpg,"[[1965, 213, 2173, 246], [1549, 194, 1662, 232], [1083, 204, 1337, 247], [752, 214, 870, 255], [185, 215, 275, 248], [416, 219, 507, 259], [556, 221, 621, 254]]","[2, 2, 2, 2, 2, 2, 2]","['3055', '517']"
Others,357,j49-1.jpg,"[[119, 237, 197, 268], [287, 249, 385, 277], [406, 251, 644, 281], [750, 263, 785, 291], [1324, 307, 1438, 325], [1451, 272, 1580, 290], [1641, 269, 1762, 294], [2005, 272, 2082, 285], [2289, 269, 2376, 286], [2171, 275, 2249, 291], [2438, 254, 2829, 288]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['2915', '480']"
Porosity,859,h205-2.jpg,"[[1769, 227, 1797, 253]]",[1],"['2140', '412']"
Others,177,j157-1.jpg,"[[589, 316, 1116, 369], [2173, 377, 2273, 420]]","[2, 2]","['2883', '533']"
Porosity,629,h134-2.jpg,"[[2249, 265, 2276, 293], [5, 216, 708, 250]]","[1, 2]","['2934', '490']"
Slag,1278,s28-1.jpg,"[[1287, 178, 1333, 213]]",[1],"['1517', '490']"
Others,35,j110-2.jpg,"[[1076, 162, 1170, 192], [1521, 157, 1679, 186], [1832, 159, 1926, 192]]","[2, 2, 2]","['2634', '383']"
Porosity,948,h234-1.jpg,"[[684, 222, 717, 252]]",[1],"['2686', '427']"
Porosity,1165,h81-1.jpg,"[[279, 256, 511, 276], [1059, 236, 1172, 254], [2063, 216, 2179, 236], [1804, 220, 1878, 243], [1502, 220, 1730, 243], [1317, 221, 1482, 247], [1909, 222, 2030, 237]]","[2, 2, 2, 2, 2, 2, 2]","['2252', '492']"
Porosity,850,h202-3.jpg,"[[1006, 210, 1065, 232], [1082, 207, 1138, 229]]","[2, 2]","['2137', '454']"
Porosity,622,h132-2.jpg,"[[1135, 157, 1163, 185]]",[1],"['1478', '302']"
Others,89,j126-1.jpg,"[[2421, 324, 2437, 341], [1761, 404, 2190, 459], [2384, 386, 2689, 434]]","[1, 2, 2]","['2944', '695']"
Porosity,998,h29-1.jpg,"[[2888, 603, 2918, 631]]",[1],"['4535', '871']"
Others,317,j35-3.jpg,"[[1742, 179, 2130, 203]]",[2],"['2948', '480']"
Porosity,825,h195-1.jpg,"[[760, 254, 788, 278]]",[1],"['1359', '460']"
Slag,1299,s36-1.jpg,"[[1230, 287, 1508, 347], [1758, 290, 1954, 343], [2407, 258, 2746, 310]]","[2, 2, 2]","['3005', '572']"
Others,73,j121-2.jpg,"[[1172, 146, 1262, 180]]",[2],"['2857', '430']"
Porosity,541,h109-1.jpg,"[[1141, 259, 1170, 289]]",[1],"['2930', '515']"
Porosity,1146,h75-1.jpg,"[[1516, 432, 1563, 477]]",[1],"['2243', '715']"
Porosity,769,h177-3.jpg,"[[1070, 172, 1096, 195]]",[1],"['2898', '537']"
Porosity,1005,h31-1.jpg,"[[666, 291, 695, 317]]",[1],"['2097', '502']"
Porosity,777,h180-2.jpg,"[[1278, 286, 1324, 332]]",[1],"['2236', '655']"
Porosity,830,h196-3.jpg,"[[1228, 191, 1262, 223]]",[1],"['2265', '354']"
Others,207,j166-1.jpg,"[[285, 165, 481, 205], [514, 167, 637, 202], [681, 183, 773, 212]]","[0, 0, 2]","['1457', '385']"
Others,374,j53-3.jpg,"[[2377, 201, 2725, 248], [1964, 197, 2106, 218]]","[0, 2]","['2993', '429']"
Others,503,j97-2.jpg,"[[1784, 161, 1875, 222]]",[2],"['2328', '727']"
Others,134,j140-3.jpg,"[[1518, 198, 1607, 225], [734, 219, 867, 245], [870, 238, 1460, 281], [1857, 229, 2313, 271]]","[2, 2, 2, 2]","['2910', '539']"
Porosity,1167,h81-3.jpg,"[[273, 209, 529, 232], [1075, 234, 1175, 252], [1318, 243, 1469, 264], [1509, 245, 1707, 271], [1782, 251, 1875, 274], [2063, 254, 2162, 271], [1930, 252, 2023, 272]]","[2, 2, 2, 2, 2, 2, 2]","['2252', '492']"
Porosity,646,h140-1.jpg,"[[1569, 269, 1599, 297]]",[1],"['2816', '545']"
Others,113,j133-3.jpg,"[[1716, 105, 1800, 128], [1889, 100, 1956, 125]]","[2, 2]","['2908', '410']"
